INFO  08-08 03:59:22.318 cli_diagnostics                  setup_cli_logging  | CLI start — argv=['host', '--server', 'http://omnigent-server:8000', '--non-interactive'] pid=1
INFO  08-08 03:59:24.574 host.connect                     _connect_and_serve | Connecting to ws://omnigent-server:8000/v1/hosts/ea0534006b0e411bbd0d60040600219d/tunnel
WARN  08-08 03:59:24.580 host.connect                     run                | Host tunnel disconnected: [Errno 111] Connect call failed ('172.21.0.3', 8000). Reconnecting in 0.5s
INFO  08-08 03:59:25.084 host.connect                     _connect_and_serve | Connecting to ws://omnigent-server:8000/v1/hosts/ea0534006b0e411bbd0d60040600219d/tunnel
WARN  08-08 03:59:25.087 host.connect                     run                | Host tunnel disconnected: [Errno 111] Connect call failed ('172.21.0.3', 8000). Reconnecting in 1.0s
INFO  08-08 03:59:26.120 host.connect                     _connect_and_serve | Connecting to ws://omnigent-server:8000/v1/hosts/ea0534006b0e411bbd0d60040600219d/tunnel
WARN  08-08 03:59:26.123 host.connect                     run                | Host tunnel disconnected: [Errno 111] Connect call failed ('172.21.0.3', 8000). Reconnecting in 2.2s
INFO  08-08 03:59:28.329 host.connect                     _connect_and_serve | Connecting to ws://omnigent-server:8000/v1/hosts/ea0534006b0e411bbd0d60040600219d/tunnel
WARN  08-08 03:59:28.332 host.connect                     run                | Host tunnel disconnected: [Errno 111] Connect call failed ('172.21.0.3', 8000). Reconnecting in 5.4s
INFO  08-08 03:59:33.761 host.connect                     _connect_and_serve | Connecting to ws://omnigent-server:8000/v1/hosts/ea0534006b0e411bbd0d60040600219d/tunnel
WARN  08-08 03:59:33.766 host.connect                     run                | Host tunnel disconnected: [Errno 111] Connect call failed ('172.21.0.3', 8000). Reconnecting in 10.0s
INFO  08-08 03:59:43.771 host.connect                     _connect_and_serve | Connecting to ws://omnigent-server:8000/v1/hosts/ea0534006b0e411bbd0d60040600219d/tunnel
